20:15:01 | INFO    | talenthunt.voice.tts_api | Registered free TTS routes at /api/tts
Starting TalentHunt OS v0.1.0 on http://127.0.0.1:8080
NiceGUI ready to go on http://127.0.0.1:8080
20:15:03 | INFO    | talenthunt.voice.tts_api | Kokoro TTS engine warmed and ready
20:17:02 | INFO    | talenthunt.candidates.search | ChromaDB candidate collection initialized at D:\VibeCode\JobSearch_Platform\TalentHuntOS\data\chroma_db
20:17:03 | INFO    | talenthunt.candidates.search | FastEmbed BAAI/bge-small-en-v1.5 model loaded successfully.
20:17:03 | INFO    | talenthunt.candidates.search | Indexed candidate 30 (Anas Khan) into ChromaDB.
20:39:14 | ERROR   | asyncio | Exception in callback _ProactorBasePipeTransport._call_connection_lost()
handle: <Handle _ProactorBasePipeTransport._call_connection_lost()>
Traceback (most recent call last):
  File "C:\Python313\Lib\asyncio\events.py", line 89, in _run
    self._context.run(self._callback, *self._args)
    ~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Python313\Lib\asyncio\proactor_events.py", line 165, in _call_connection_lost
    self._sock.shutdown(socket.SHUT_RDWR)
    ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^
ConnectionResetError: [WinError 10054] An existing connection was forcibly closed by the remote host
20:39:18 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] start hunt=7 role='Spine Animator' fill_to=25 already=5 need=20 queries=26 max_scan=120 job=9b9576c728
20:39:31 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q1/26: "Spine Animator" Spine 7+ years Noida, India site:linkedin.com/in
20:39:31 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 14 hits
20:39:31 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Itisha Knox years=None band=7-None title=HZF
20:39:31 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Shiq muthahar Ahmed years=2.5 band=7-None title=Sr. Spine Animator
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Anas Khan years=6.2 band=7-None title=Spine Animator
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip location Guneet Singh loc=None reason=unknown_location_for_india_hunt want=Noida, India
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip location Gowthaman Chandran loc=None reason=unknown_location_for_india_hunt want=Noida, India
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip location Endra Andoyo loc=None reason=unknown_location_for_india_hunt want=Noida, India
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip location Shobhit Verma loc=None reason=unknown_location_for_india_hunt want=Noida, India
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip location Yash Pathania loc=None reason=unknown_location_for_india_hunt want=Noida, India
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip location Chaofan Liu loc=None reason=unknown_location_for_india_hunt want=Noida, India
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip location Yaroslav Sopot loc=None reason=unknown_location_for_india_hunt want=Noida, India
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Shubham Kashyap years=None band=7-None title=Spine Animator
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Natallia Horbik years=1.8 band=7-None title=Spine Animator
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q2/26: "Spine Animator" Spine 7+ years Noida, India site:naukri.com
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 14 hits
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q3/26: "Spine Animator" Spine Noida, India site:github.com
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 14 hits
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q4/26: "Spine Animator" Spine Noida, India site:behance.net
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 6 hits
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Vinod Kumar years=None band=7-None title=Vinod Kumar - Senior Spine Animator and 2d artist in New Del
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Vikalp Bhandari years=None band=7-None title=Game artist, Illustrator, Spine Animator in Noida...
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Suman Raul years=None band=7-None title=Suman Raul - spine animator ,2d animator in Kolkata, India :
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Suman Raul years=5.0 band=7-None title=Suman Raul - spine animator ,2d animator in Kolkata, India :
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q5/26: "Spine Animator" Spine Noida, India site:artstation.com
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 13 hits
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q6/26: "Spine Animator" Spine Noida, India site:dribbble.com
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 6 hits
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip location Peter Suslik loc=None reason=unknown_location_for_india_hunt want=Noida, India
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q7/26: Spine Animator 7+ years Noida, India site:in.linkedin.com/in
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 6 hits
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Suman Raul years=5.0 band=7-None title=spine animator ,2d animator at shivia...
20:39:32 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Niharika Elena Knox years=None band=7-None title=Spine 2D Animator
20:39:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Saba Parveen years=None band=7-None title=Phonato Studios
20:39:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Rinika Pramanik years=None band=7-None title=RNGplay
20:39:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q8/26: "Spine Animator" Noida, India resume site:naukri.com
20:39:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 7 hits
20:39:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q9/26: "Spine Animator" Noida, India portfolio site:github.com
20:39:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 6 hits
20:39:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q10/26: "Spine Animator" Noida, India portfolio site:behance.net
20:39:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 11 hits
20:39:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip location Aditya Solanki loc=None reason=unknown_location_for_india_hunt want=Noida, India
20:39:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Aman Naudiyal years=None band=7-None title=2D Spine animator in India :: Behance
20:39:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Akhil K.J years=None band=7-None title=2D spine animator, motion graphics artist in India
20:39:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] skip exp-band Chetan Singh on Behance years=None band=7-None title=Chetan Singh on Behance
20:39:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q11/26: "Spine Animator" Noida, India portfolio site:artstation.com
20:39:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 6 hits
20:39:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] DDG r1 q12/26: "Spine Animator" Noida, India designer site:dribbble.com
20:39:33 | INFO    | talenthunt.hunts.web_sourcing | [sourcing] query returned 6 hits
